GeneID	GSM4053401	GSM4053402	GSM4053403	GSM4053404	GSM4053405	GSM4053406	GSM4053407	GSM4053408	GSM4053409	GSM4053410	GSM4053411	GSM4053412
102723757	0	0	0	0	0	0	0	0	0	0	0	0
100288798	0	0	0	0	0	0	0	0	0	0	0	0
55089	65	18	56	44	45	38	157	674	304	123	190	13
107984466	0	0	0	0	0	0	0	0	0	0	0	0
347902	25	27	51	96	45	127	74	381	576	148	275	46
91523	45	44	46	56	40	67	50	53	83	46	47	21
100616486	0	0	0	0	0	0	0	0	0	0	0	0
100233209	0	0	0	0	0	0	0	0	0	0	0	0
105369746	0	0	0	0	0	0	0	0	0	0	0	0
105369747	0	0	0	0	0	0	0	0	0	0	0	0
107984528	0	0	0	1	0	0	0	0	0	0	0	0
100616478	0	0	0	0	0	0	0	0	0	0	0	0
111082992	0	0	0	0	0	0	0	0	0	0	0	0
79657	324	649	689	648	527	837	929	401	572	651	494	243
105369748	1	1	1	21	4	1	2	2	1	4	2	0
8909	0	1	4	133	3	7	0	8	3	8	13	0
10411	80	118	134	218	215	369	98	142	191	915	156	196
55652	37	88	53	53	83	106	92	105	149	139	97	76
51564	530	1035	1074	1330	445	705	969	846	1352	1862	870	578
107984503	0	0	0	0	0	0	0	0	0	0	0	0
7421	2415	2713	2455	956	854	2396	2358	3604	1529	71	3108	3204
79022	1697	1970	2438	1716	1719	3104	4103	2164	1452	536	1623	2056
1280	0	0	45	79	3	4	375	73	20	0	134	350
105369752	0	0	2	0	0	0	7	1	4	0	0	7
105369750	0	0	0	0	0	0	0	0	0	0	0	0
29843	428	350	593	577	311	577	902	352	541	453	467	335
5213	1354	3452	2761	1978	1839	3068	4373	2764	5488	22810	2588	1097
102466657	1	3	6	0	0	0	2	0	0	0	0	0
140461	103	122	146	159	128	195	296	318	289	603	323	221
387856	0	2	0	0	0	2	0	3	26	0	1	4
102725258	0	0	0	0	0	0	0	0	0	0	0	0
121275	1	3	0	18	9	2	6	5	0	6	0	0
105369753	0	0	0	0	0	0	0	0	0	0	0	0
341567	0	0	1	5	0	0	0	0	4	0	26	3
121274	78	94	146	152	144	221	255	162	283	401	248	88
121273	0	0	1	16	0	0	0	7	6	1	1	0
23519	0	5	2	0	0	0	0	0	0	0	1	1
341568	0	0	0	0	0	0	0	0	0	0	0	0
3906	0	0	0	0	0	0	0	0	0	0	0	0
54934	280	449	445	433	244	409	547	317	298	519	259	281
677815	138	54	194	47	182	190	229	64	40	11	69	66
100302221	138	54	194	47	182	190	229	64	40	11	69	66
677793	10	5	40	13	32	30	34	2	0	1	8	7
677794	3	2	3	0	2	4	3	3	3	0	2	8
904	387	720	643	469	286	577	800	401	495	498	499	288
255411	0	0	4	0	0	1	4	0	0	0	3	0
112	1030	854	1081	826	950	1568	1177	1963	1308	3499	2130	2199
100616262	0	0	0	0	0	0	0	0	0	0	0	0
100506125	0	0	0	0	0	0	0	0	0	0	0	0
101927241	0	4	0	0	1	0	2	0	4	1	1	0
784	206	411	453	471	289	684	557	617	843	158	294	433
9416	2585	3114	3841	2780	2360	3823	5164	2554	2332	2755	3146	2955
105369755	74	107	139	70	65	152	174	101	77	107	107	44
27289	38	104	50	27	11	73	93	16	31	9	105	16
85478	1	10	10	1	1	21	26	3	11	5	2	1
51303	115	175	595	400	282	375	360	78	54	119	196	316
377	1435	1481	1531	1585	733	2096	2310	2416	1750	1113	2448	1840
7480	2	17	0	5	1	10	3	18	21	8	12	6
7471	0	0	4	2	0	0	0	1	2	1	0	0
105369757	0	0	0	0	0	0	0	0	0	0	0	0
105369756	0	0	0	0	0	0	0	0	0	0	0	0
23109	3	21	18	0	5	42	8	0	1	854	1	0
105369758	19	23	27	15	18	28	35	29	27	91	27	24
5571	500	847	994	851	658	1153	1092	1027	1106	1687	1041	661
8085	6572	7891	8472	8567	5084	10997	13171	9188	8539	10492	11276	9011
121268	47	19	28	14	11	17	33	3	1	2	0	0
50846	0	1	2	7	0	5	3	5	14	34	15	0
105369759	0	0	0	0	0	0	0	0	0	0	0	0
55716	229	589	417	279	293	318	897	345	345	388	393	308
10376	46648	36998	43947	47657	23145	55492	56987	40209	47351	20551	30436	57538
105369760	1	0	0	0	0	1	0	1	1	1	0	1
7846	12441	5986	12166	14665	3840	14259	8341	36674	66608	12748	28016	17518
84790	19870	23576	24657	39493	16327	43167	36881	26465	19364	6431	17383	27208
101927267	1	27	21	3	2	20	15	324	857	16	153	30
5630	0	47	47	1	0	14	7	510	1503	23	222	73
10024	317	283	377	486	230	463	586	53	45	1	40	163
338761	0	4	0	0	0	0	1	0	0	0	0	0
79962	148	205	204	45	94	284	405	212	79	0	336	255
65244	291	497	602	479	311	692	985	316	408	330	355	337
100335030	8	6	21	17	23	16	38	15	8	0	1	2
23416	0	3	1	5	0	0	11	4	7	3	0	5
105369761	0	0	0	0	0	0	0	0	0	0	0	0
10445	526	626	659	390	555	840	909	461	512	819	604	538
84070	16	18	10	19	15	23	31	5	11	27	15	4
25766	110	368	223	480	295	486	797	283	410	468	252	164
91010	263	819	669	643	464	655	683	488	737	1623	507	215
7009	10671	11733	13514	7890	7819	17776	21211	18953	10577	9086	16578	13224
57701	35	257	139	263	152	196	290	229	412	715	261	111
100286844	3	9	6	22	4	15	15	16	19	18	13	5
144233	7	10	15	24	9	16	23	22	23	41	14	8
23017	50	1193	86	130	154	331	288	264	685	68	132	27
283332	0	0	0	0	0	0	0	0	0	0	0	0
101927292	0	0	0	0	0	0	0	0	0	0	0	0
105369763	0	0	0	0	0	0	0	0	0	0	0	0
359	1	5	0	0	0	0	0	0	0	2	0	0
101927318	1	4	0	0	0	0	0	0	0	0	0	0
362	0	2	6	347	8	41	0	7	0	1	0	0
105369764	0	0	0	1	0	0	2	0	4	0	0	0
363	0	0	3	5	0	0	2	0	4	2	0	0
102723963	0	0	2	0	0	0	0	0	0	1	0	0
29127	1099	934	1275	1102	651	1769	1633	550	355	203	401	421
41	23	179	64	51	49	114	88	125	249	26	54	11
6602	436	561	710	686	486	1038	976	612	570	513	636	416
2819	9	112	97	45	105	89	485	88	342	17458	912	86
84987	38	48	76	22	66	103	94	112	77	194	60	46
91012	79	155	203	197	147	262	261	162	205	171	139	97
51474	3128	1764	1794	2098	1195	2067	2193	5162	2603	3154	6209	5010
100302220	0	0	0	0	0	0	0	0	0	0	1	0
107984505	0	0	0	0	0	0	0	0	0	0	0	0
121006	7	38	2	11	37	1	12	23	7	4	0	16
113251	1036	947	1606	1448	1182	2648	3332	1073	1528	1708	1587	1292
106633800	0	0	0	0	0	1	2	9	0	0	0	0
57609	2159	3598	2941	3002	2317	4474	5594	3154	2343	2000	3977	2987
466	303	494	571	282	206	507	778	484	321	417	375	503
283471	0	5	0	1	0	1	0	0	0	0	0	0
25840	232	90	275	192	120	390	158	981	974	1655	1070	488
613227	8	6	5	4	0	3	6	0	5	5	4	0
4891	2107	1726	1585	1328	1146	1615	5397	880	582	831	1105	665
25875	296	313	483	248	557	737	482	367	342	803	402	321
81566	84	108	154	133	72	148	235	162	212	209	169	35
7024	565	628	843	846	513	1142	1497	847	1115	1196	905	661
5463	52	25	58	30	10	51	52	109	250	279	131	91
9802	1392	1747	2738	1325	1498	3383	4724	2876	2210	1888	3783	1983
57228	421	196	268	198	142	450	376	163	94	38	373	277
102723983	11	17	11	9	3	22	8	11	10	11	20	18
51411	275	456	319	213	140	177	370	243	174	362	632	334
105369767	0	0	0	0	0	0	1	0	0	0	0	0
1990	3	0	0	0	0	0	0	0	0	0	0	0
11226	1042	788	798	665	905	2484	607	311	133	86	625	283
9498	50	65	37	84	139	218	98	64	34	20	31	13
107984508	0	0	0	0	0	0	0	0	0	0	0	0
105369768	0	0	0	0	0	0	0	0	0	0	0	0
6334	130	195	344	140	210	187	680	60	186	17	130	228
401720	0	6	4	10	0	1	1	0	12	17	0	7
105369971	0	0	1	2	0	0	0	0	0	4	0	0
341405	0	37	7	0	1	0	0	0	0	0	0	0
94	376	781	1373	735	995	1615	1687	1812	1484	1467	2568	3642
91	225	532	811	417	460	978	1299	824	407	224	954	700
692159	0	3	4	12	4	3	1	13	10	10	8	2
160622	26	61	85	138	27	85	36	141	232	312	199	44
3164	2387	3159	2385	676	876	2362	2935	1325	6877	1247	2163	1525
107984510	0	0	0	0	0	0	0	0	0	0	0	0
60673	320	375	328	243	254	602	506	232	292	225	308	256
113523638	1	6	6	1	4	8	4	19	4	3	9	2
26628	1	6	6	1	4	8	4	19	4	3	9	2
112268096	0	0	0	0	0	0	0	0	0	0	0	0
105369771	0	0	0	0	1	0	0	0	0	0	0	1
144501	257	510	137	1522	103	248	203	2	19	28	9	1
283403	0	0	0	0	0	0	0	0	0	0	0	0
283404	0	0	0	0	0	0	0	0	0	0	0	0
3855	17	212	284	472	35	43	1	24	38	83	10	10
109729127	7	97	60	137	8	9	1	8	11	17	0	0
85349	4	27	2	40	11	0	12	1	2	1	9	0
3892	1	149	29	108	30	43	34	93	91	39	6	0
3887	1	50	2	3968	8	14	4	52	22	1	5	0
3889	0	0	3	1767	18	29	11	2	18	0	0	0
3891	0	8	0	950	0	2	0	0	0	3	0	0
3890	0	2	0	422	0	0	0	0	0	0	0	0
3888	0	0	0	2	0	0	0	0	0	0	0	0
9119	30	21	3	62489	3	48	1	0	0	0	0	1
3854	166	95	397	886403	249	352	253	105	61	66	52	117
286887	91	164	157	1190731	79	204	106	127	61	111	65	134
3853	117	824	166	1667507	74	162	127	190	88	194	88	207
3852	13	26	50	591555	29	56	31	48	41	96	19	68
112802	0	17	0	1243	0	0	0	0	0	0	0	0
121391	0	0	0	7914	1	0	14	0	0	1	0	0
140807	0	8	0	1113	0	2	0	0	0	0	0	0
319101	0	11	1	2087	6	0	2	0	0	0	0	0
100127967	0	9	1	2087	1	0	2	0	0	0	0	0
105369772	0	0	0	0	0	0	0	0	0	0	0	0
3849	4	19	0	304	11	0	0	1	0	0	2	2
3848	4	18	19	77748	2	2	4	39	36	52	10	52
374454	0	0	0	1151	0	0	0	0	0	0	0	0
51350	0	4	2	22114	0	0	0	0	0	0	0	0
3850	0	7	4	372	0	0	0	0	0	0	0	0
3851	0	14	0	31797	1	10	0	9	0	0	0	0
338785	0	18	0	13731	0	1	0	4	0	3	1	179
196374	0	2	0	11077	0	0	1	0	0	0	0	0
3856	50312	69940	73132	24751	62822	119256	94821	109059	87059	250	108923	145694
113218482	1618	2293	2478	850	2137	4051	3276	4277	3285	2	4151	5774
3875	32165	45618	33854	10631	34220	49471	41504	19927	14491	306	23608	28501
1975	6029	14620	12909	6653	9555	22156	10733	9603	13404	19671	11161	6760
283335	5	27	21	40	14	36	17	56	146	387	92	44
23371	63	555	489	798	232	525	276	1342	3276	8189	1888	817
102466193	0	1	0	0	1	0	1	1	1	11	0	1
84926	197	579	387	398	269	643	678	311	623	617	488	374
3489	5	39	106	209	15	67	34	428	749	1382	622	212
8435	0	2	0	4	0	0	14	1	9	3	0	0
51380	175	464	271	403	298	196	442	379	368	1296	293	280
283337	161	265	306	234	173	413	368	234	289	384	332	194
3695	108	159	102	70	43	113	72	86	74	79	205	130
5916	79	209	47	322	127	312	167	99	156	147	72	77
84975	134	170	212	272	116	441	590	429	200	257	372	256
9700	417	316	479	527	257	799	1043	232	103	12	106	230
5204	1248	1795	3518	2076	2299	3958	3624	2420	3334	4513	1975	1933
112268097	317	475	882	459	537	875	897	652	776	1075	447	551
60314	311	299	343	181	264	440	419	231	343	328	239	252
8086	1566	2226	1695	1324	1225	1920	2358	1250	1458	2016	1190	1668
121340	0	0	0	0	0	0	0	0	0	12	0	0
6667	2833	2459	3644	2222	1927	4218	5846	3279	4243	3642	4352	2810
269	0	17	0	1	2	0	0	0	6	10	1	0
54458	1919	1944	1919	790	1215	2594	3414	3795	1718	809	2713	2482
5094	7467	8912	10980	7235	7913	14612	13858	8743	9247	13394	9985	5910
102157401	1167	1331	1440	968	985	1771	2218	1405	1227	1897	1425	947
7786	78	102	161	191	82	84	214	168	267	315	156	119
6895	181	218	228	172	225	391	530	102	103	148	99	180
114108587	254	327	513	313	261	496	688	592	705	1142	560	454
8620	1	0	5	1	0	0	1	0	0	1	0	6
11016	253	327	511	313	262	496	689	593	709	1143	560	453
100652999	27	39	61	35	27	58	74	59	118	152	81	57
517	1247	1951	2674	1441	1774	3281	2996	2240	2081	3200	2411	1957
57658	503	444	743	838	897	759	761	1441	2214	3391	1700	358
105369774	0	0	0	0	0	0	0	0	0	0	0	0
102216268	0	0	0	0	0	0	0	0	0	0	0	0
105378250	0	0	0	0	0	0	0	0	0	0	0	0
107984525	0	0	0	0	0	0	0	0	0	0	0	0
100874366	0	0	0	5	0	0	3	0	0	0	0	0
3229	0	0	0	18	0	0	3	0	0	4	0	0
105369775	0	0	0	2	0	0	0	0	0	1	0	0
3228	0	0	0	6	0	0	1	0	0	1	0	0
100124700	0	0	0	0	0	0	0	0	0	0	0	0
3227	4	5	0	127	1	0	25	0	0	12	0	0
100874365	0	0	0	10	0	0	1	0	0	26	0	0
3226	0	0	0	70	0	0	1	0	1	277	0	0
406973	0	0	0	1	0	0	0	0	0	0	0	0
100874364	0	0	0	0	0	0	0	0	0	0	0	0
100874363	0	0	0	0	0	0	0	0	0	0	0	0
3225	0	5	1	15	0	0	0	0	0	149	0	9
107984512	0	0	0	0	0	0	0	0	0	1	0	0
3224	0	1	0	13	0	0	0	0	0	90	0	0
3221	1	5	2	26	0	6	1	22	85	100	8	13
3222	0	0	0	9	0	0	4	3	9	22	1	0
3223	0	5	0	43	0	0	0	0	0	298	0	0
693200	0	0	0	0	0	0	0	0	0	0	0	0
440101	0	0	0	0	0	0	0	0	0	0	0	0
100240735	0	0	0	1	0	0	0	4	2	0	0	5
100240734	0	0	0	0	0	0	0	0	0	0	2	0
23583	14	64	54	40	48	63	63	58	33	89	44	36
400043	0	1	2	0	0	0	2	0	7	4	0	0
105369776	0	0	0	0	0	0	0	0	0	0	0	0
102724030	0	0	0	0	0	0	0	0	0	0	0	0
105369777	0	0	0	0	0	0	0	0	0	0	0	0
23468	573	464	764	693	562	645	923	556	830	1068	794	444
100616400	0	0	0	0	0	0	0	0	0	0	0	0
112935960	0	0	0	0	0	0	2	0	0	0	0	0
3178	12890	17000	23159	11896	11744	27521	17254	9114	12752	11277	12381	9563
4778	0	13	4	16	1	5	10	9	7	50	40	11
22818	497	1041	972	843	756	1702	1621	583	539	669	622	610
442892	2	1	2	0	0	3	0	0	0	0	0	0
102724050	2	109	46	29	13	18	9	102	241	55	304	35
53831	3	106	16	12	6	12	8	0	0	0	61	0
25946	13	187	81	375	30	74	38	106	100	316	160	78
3678	194	6292	1574	1948	293	1386	759	6181	15739	3767	17651	4052
121355	0	2	5	11	6	2	2	8	5	0	4	0
3071	454	679	852	918	273	450	375	1129	1285	1175	772	546
5153	10	59	42	76	30	33	5	109	165	395	63	16
5502	0	0	0	0	0	0	0	57	178	2087	110	10
644076	0	0	0	0	0	0	0	0	0	0	0	0
90070	0	0	0	0	0	0	0	0	0	0	0	0
117159	0	0	0	0	0	0	0	0	0	0	0	0
118430	0	6	3	590	0	163	0	0	0	0	0	0
9840	20	32	44	36	29	28	33	21	25	33	34	24
107984515	0	0	0	0	0	0	0	0	0	0	0	0
58158	0	0	0	0	0	0	0	0	0	0	0	0
101927484	0	0	0	0	0	0	0	0	0	0	0	0
441639	0	0	0	0	0	0	0	0	0	0	0	0
121364	0	0	0	0	0	0	0	0	0	0	0	0
254783	0	0	0	0	0	0	0	0	0	0	0	0
283365	0	0	0	0	0	0	0	0	0	0	0	0
390321	0	0	0	0	0	0	0	0	0	0	0	0
254786	0	0	0	0	0	0	0	0	0	0	0	0
390323	0	0	0	0	0	0	0	0	0	0	0	0
403282	0	0	0	0	0	0	0	0	0	0	0	0
390326	0	0	0	0	0	0	0	0	0	0	0	0
341416	0	0	0	0	0	0	0	0	0	0	0	0
390327	0	0	0	0	0	0	0	0	0	0	0	0
403284	0	0	0	0	0	0	0	0	0	0	0	0
341418	0	0	0	0	0	0	0	0	0	0	0	0
121129	0	0	0	0	3	0	0	0	0	0	0	0
121130	0	0	0	0	0	0	0	0	0	0	0	0
196410	201	228	152	109	130	485	511	462	159	67	375	265
