GeneID	GSM2367963	GSM2367964	GSM2367966	GSM2367967	GSM2367969	GSM2367970	GSM2367974	GSM2367975	GSM2367977	GSM2367978
51673	71	239	1341	1672	433	352	172	480	195	417
29800	59	130	74	214	153	47	84	107	169	61
3291	759	8347	566	26	768	2293	483	5661	446	5298
9114	892	1528	1699	705	1751	1431	883	1622	897	1360
101927837	0	0	4	0	0	0	0	1	0	0
181	17	0	9	0	0	0	2	0	2	0
100505942	0	0	0	0	0	0	0	0	0	0
79567	0	1	2	5	11	5	2	2	3	0
107984813	0	0	0	0	0	0	0	0	0	0
10664	339	598	466	779	995	274	743	767	571	692
146206	126	26	146	13	75	31	63	41	54	60
65057	119	47	135	108	220	58	99	99	148	37
50855	145	18	136	42	27	15	23	22	23	21
84080	49	48	87	193	79	30	35	71	108	55
388284	10	20	11	88	11	8	8	44	18	4
81577	13	10	15	13	27	14	11	17	15	26
57610	212	270	175	377	583	160	301	265	297	304
55815	1	0	4	0	2	0	1	1	1	1
80152	11	13	33	9	12	24	11	15	3	30
57215	504	665	728	708	692	317	429	528	516	538
10204	728	293	2889	275	1212	390	1236	838	607	364
23644	137	228	156	285	496	152	192	311	242	318
123904	4	0	13	6	1	0	1	1	2	0
5681	104	220	116	257	377	272	125	378	234	295
1506	35	9	39	9	24	7	18	15	9	17
5699	673	807	857	291	543	515	562	671	345	541
3931	0	7	2	15	5	6	5	7	2	3
6560	32	113	57	578	232	129	252	211	322	126
64180	2	2	2	1	4	1	9	10	22	80
64174	94	60	232	52	38	34	51	74	34	41
100131303	0	0	0	0	0	0	0	0	0	0
55794	564	134	795	110	527	130	135	151	196	164
54920	37	28	52	44	99	37	40	75	54	89
4775	80	145	152	183	298	94	146	181	122	111
80004	291	464	111	4	735	205	219	417	330	583
102466194	0	0	0	0	0	0	0	0	0	0
23659	88	60	95	52	138	62	181	91	203	85
9057	71	31	66	35	296	32	155	52	94	66
84138	122	232	379	232	344	115	281	304	188	111
54496	186	90	311	201	569	166	370	263	239	131
55512	33	345	67	17	132	41	28	266	32	255
105371321	0	0	1	0	0	0	0	0	0	0
146198	14	13	25	53	101	52	112	80	68	24
1001	117	2	164	5	654	18	1258	5	818	7
999	1324	5672	1705	25	8136	3590	2269	5940	2030	3493
79613	127	80	133	195	268	145	144	197	174	117
3038	9	13	5	8	54	11	9	4	11	7
113455421	82	241	174	215	268	185	165	271	149	175
54921	82	241	174	215	268	185	165	271	149	175
84916	875	169	1144	398	1363	459	721	620	476	276
6645	110	310	171	519	519	194	395	439	339	212
27183	620	1169	1221	1277	1261	544	781	1204	671	728
64146	81	31	88	30	222	50	85	80	63	50
84342	259	371	224	348	554	129	239	289	256	297
51388	547	222	1221	154	974	256	573	537	376	291
146456	7	48	24	1	4	4	6	54	0	21
7014	167	343	288	476	936	432	415	682	251	293
80777	2797	2193	12575	1160	4242	1751	1625	3324	1965	1663
105371325	0	0	0	0	0	0	0	0	0	0
100302119	0	0	0	0	0	0	0	0	0	0
10725	330	310	411	504	1315	252	745	552	463	276
109617018	0	0	0	0	0	0	0	0	0	0
1728	1114	887	4726	219	906	1195	97	810	916	952
28987	432	248	857	282	1213	164	461	407	307	157
11060	329	684	491	265	665	251	332	621	256	469
406932	0	0	0	0	0	0	0	0	0	0
348174	4	15	5	3	5	4	1	5	3	2
283970	303	581	588	229	697	295	296	514	459	395
100422922	0	0	0	0	0	0	0	0	0	0
55066	174	308	285	550	296	141	298	431	215	187
400541	0	0	0	0	0	0	1	0	0	0
283971	4	17	4	4	5	5	1	5	3	2
105371328	1	0	2	0	0	0	0	0	0	0
100506060	22	8	62	2	13	14	17	37	8	13
107984138	49	22	175	45	32	18	30	47	33	20
118460	0	1	2	0	7	3	7	2	1	1
16	1083	458	906	1210	1553	258	954	533	1243	638
11269	114	176	234	179	295	140	197	260	198	142
100506083	114	173	232	177	292	138	196	253	198	141
55308	105	47	130	179	1237	350	588	492	357	234
6483	83	100	138	389	337	48	353	139	384	83
197258	177	223	319	98	342	115	72	160	199	200
25839	445	503	975	357	594	261	334	566	332	375
23450	1425	685	1884	781	3326	521	1769	1116	1585	918
100113402	0	0	0	0	0	0	0	0	0	0
692214	0	0	0	0	0	0	0	0	0	0
146433	5	17	8	38	25	19	46	33	24	32
92154	108	343	77	5024	512	282	510	656	491	134
55697	205	164	230	232	398	112	238	208	293	244
100130894	203	155	219	230	386	107	225	197	284	238
7198	0	0	0	0	0	0	0	0	0	0
100188985	0	0	0	0	0	0	0	0	0	0
100189220	0	0	0	0	0	0	0	0	0	0
100189163	0	0	0	0	0	0	0	0	0	0
54768	1	0	6	1	0	0	0	0	1	0
55783	61	88	100	44	179	83	75	99	71	53
102723786	54	79	93	42	170	80	70	92	63	49
102725168	0	0	0	0	0	0	0	0	0	0
794	0	72	5	25	46	6	27	63	81	1
105371332	0	0	0	0	0	0	0	0	0	0
105371333	0	0	0	0	0	0	0	0	0	0
100189135	0	0	0	0	0	0	0	0	0	0
102723796	0	0	0	0	0	0	0	0	0	0
7571	43	52	66	121	173	55	36	61	48	37
7567	9	27	26	15	69	29	30	46	32	33
105371335	0	0	0	0	0	0	0	0	0	0
10164	18	0	0	0	3	0	2	0	3	2
100132529	0	0	0	0	0	0	0	0	0	0
6898	3	1	12	0	5	34	1	1	0	6
105371334	0	0	0	0	0	0	0	0	0	0
91862	65	620	273	2	183	286	161	571	42	338
23035	61	396	82	67	128	204	85	509	55	500
100379141	83	30	117	5	18	8	4	3	7	16
164	447	894	639	525	1197	563	856	1220	714	1001
692111	0	0	0	0	0	0	0	0	0	0
342371	148	390	124	815	667	313	365	459	348	384
55565	20	75	35	34	25	16	33	70	16	14
9798	299	750	941	480	1436	785	1146	1580	701	786
342372	0	1	2	1	0	0	0	1	1	1
1723	191	88	268	221	219	91	127	122	175	144
54957	0	2	5	0	1	1	1	1	2	1
3240	0	0	2	0	125	8	2	0	147	0
3250	2	0	4	0	1	2	0	1	0	0
9785	161	316	176	760	770	278	412	545	492	436
83449	35	37	216	3	87	20	17	50	28	22
105371341	0	0	1	0	0	0	0	0	0	0
101927957	0	0	3	0	0	0	0	0	0	0
107984814	0	0	1	0	0	0	0	0	0	0
101927978	0	0	0	0	0	0	0	0	0	0
463	70	524	242	1901	1304	250	693	727	626	388
283902	3	0	8	0	1	1	0	0	0	0
100506172	0	0	0	0	0	0	0	0	0	0
100189125	0	0	0	0	0	0	0	0	0	0
102723876	0	3	1	0	0	0	0	0	0	0
105371342	0	0	0	0	0	0	0	0	0	0
107984856	0	0	0	0	0	0	0	0	0	0
101928035	0	0	0	0	0	0	0	0	0	0
5713	491	415	966	602	1871	500	848	843	465	412
283922	176	377	327	401	399	146	318	350	291	194
440348	30	3	131	3	3	3	0	0	1	1
105376772	0	0	1	0	0	0	0	0	0	0
497190	7	16	3	4	5	5	1	4	3	2
107984827	0	0	0	0	0	0	0	0	0	0
2734	473	916	605	1345	1310	207	696	780	817	767
55159	226	140	487	54	448	133	363	234	251	171
197259	74	66	128	18	106	28	92	71	82	62
79152	225	612	137	3	428	277	109	468	229	855
105371343	0	0	0	0	0	0	0	0	0	0
79726	138	137	345	169	229	125	119	197	159	87
84937	164	284	281	426	450	205	159	398	220	256
197257	7	294	9	21	104	427	25	633	15	403
162239	16	30	138	87	111	27	79	72	40	26
440387	94	2	123	3	1	0	0	0	0	1
1504	101	2	136	3	1	0	0	0	0	1
100506281	0	0	0	0	0	0	0	0	0	0
9564	1	1	2	8	4	1	1	2	3	1
105371344	0	0	0	0	0	0	0	0	0	0
105371345	0	0	0	0	0	0	0	0	0	0
10428	104	201	283	249	378	98	234	355	186	135
124491	115	309	298	63	426	375	283	518	158	448
4166	0	11	1	61	9	3	22	13	55	3
23563	0	214	17	7	5	26	7	336	5	64
79583	61	183	79	53	59	60	57	459	35	48
11345	730	1329	5039	783	1093	937	1400	2039	728	599
23536	360	145	399	167	512	173	237	272	243	195
3735	306	138	620	159	668	171	329	366	262	246
54386	54	131	243	203	452	155	466	435	162	130
100033411	0	0	0	0	0	0	0	0	0	0
105371346	0	0	0	0	0	0	0	0	0	0
105371348	1	0	2	0	1	0	0	1	0	0
105371347	0	0	0	0	0	0	0	0	0	0
105371349	0	0	0	0	0	0	0	0	0	0
85445	1	0	0	7	0	1	1	1	3	0
101928203	0	0	0	0	0	0	0	0	0	0
105376774	0	0	0	0	0	0	0	0	0	0
100616172	0	0	0	0	0	0	0	0	0	0
22879	134	235	86	132	329	146	133	227	138	221
100130958	17	6	40	5	6	21	23	30	9	7
170692	0	1	6	1	15	1	6	1	6	2
105376775	0	0	0	0	0	0	0	0	0	0
105371350	0	0	0	0	0	0	0	0	0	0
283927	39	52	28	26	40	45	26	100	23	32
107984878	0	0	1	0	0	0	0	0	0	0
57687	0	15	1	16	13	9	25	35	13	17
105371351	0	0	0	0	0	0	0	0	0	0
10143	0	0	0	0	0	0	0	0	0	0
107984897	0	0	0	0	0	0	0	0	0	0
51741	33	29	169	39	161	32	75	53	40	40
102724047	0	0	0	0	0	0	0	0	0	0
105371354	0	0	1	0	0	0	0	0	0	0
112268165	0	0	0	0	0	0	0	0	0	0
107984806	0	0	2	0	0	0	0	0	0	0
4094	9	63	11	42	47	37	82	148	53	66
101928230	0	0	0	0	0	0	0	0	0	0
105371356	0	0	1	1	1	0	0	2	0	0
102467146	0	0	0	0	0	0	0	0	0	0
101928248	0	0	1	0	0	0	0	0	0	0
105371357	0	0	1	0	0	0	0	0	0	0
105371358	0	0	0	0	0	0	0	0	0	0
102724084	0	0	0	0	0	0	0	0	0	0
83657	0	1	5	4	0	0	1	0	1	0
105371360	0	0	0	0	0	0	0	0	0	0
101928276	0	0	0	0	0	0	0	0	0	0
124359	4	21	19	32	54	18	139	36	104	35
100996425	4	2	6	1	3	3	2	1	2	3
56942	367	221	830	218	524	384	360	357	342	269
55839	737	259	2404	248	726	455	667	553	452	353
107984858	0	0	2	0	0	0	0	0	0	0
23300	152	316	344	313	672	271	509	539	367	312
123775	6	2	3	0	3	0	1	1	5	2
105371361	0	0	0	0	0	0	0	0	0	0
2653	193	98	486	85	144	50	184	129	126	61
114780	0	23	1	7	0	1	1	5	0	0
53630	5	32	9	1	19	12	32	38	4	18
8139	87	197	75	248	129	38	41	120	96	87
100616150	0	0	0	0	0	0	0	0	0	0
80790	407	1045	538	640	2238	890	1387	1504	1039	1261
102465840	0	0	0	0	0	0	0	0	0	0
102465251	0	0	0	0	0	0	0	0	0	0
105371362	0	0	1	0	0	0	0	0	0	0
100129617	0	0	1	0	0	0	0	0	0	0
5336	31	128	25	54	277	400	407	315	190	328
93517	109	42	254	15	70	203	13	131	73	117
112268169	0	0	0	0	0	0	0	0	0	0
3294	8	1163	109	6	75	2077	107	896	53	1060
105371363	0	0	0	0	0	0	0	0	0	0
10200	139	81	321	111	207	105	169	210	97	71
101928392	0	0	0	0	0	0	0	0	0	0
1012	1	3	1	6	4	3	1	1	6	0
102465863	0	0	0	0	0	0	0	0	0	0
101928446	0	0	0	0	0	0	0	0	0	0
101928417	0	0	0	0	0	0	0	0	0	0
105371368	0	0	0	0	0	0	0	0	0	0
100422853	0	0	0	0	0	0	0	0	0	0
105371366	0	0	3	0	0	0	0	0	0	0
102724163	0	0	0	0	0	0	0	0	0	0
3281	1443	723	4176	346	1406	970	948	1367	881	702
23417	81	59	95	118	267	331	210	369	130	162
105371372	0	0	0	0	0	0	0	0	0	0
105371371	0	0	0	0	0	0	0	0	0	0
29948	32	77	28	27	34	32	22	51	33	60
54550	1	2	5	7	6	1	5	6	14	0
146167	0	0	0	0	0	0	0	0	0	0
8720	157	361	315	417	720	272	464	696	436	284
83693	69	82	152	211	270	71	167	172	83	43
123872	1	1	2	0	0	0	0	1	0	0
9013	156	152	182	172	234	48	241	172	465	252
161931	1	1	0	0	0	0	0	0	0	0
654780	1	1	0	0	0	0	0	0	0	0
93107	0	0	1	0	0	0	0	0	0	0
58189	14	115	53	2072	47	124	110	314	59	94
9914	56	100	48	3	249	61	131	398	53	112
105371374	55	98	46	3	234	58	129	392	51	104
57707	64	140	117	116	363	180	132	187	155	111
23406	1203	940	665	1061	2735	1300	2744	2199	1660	1888
105371376	1	0	2	0	1	0	0	0	0	0
79786	104	186	182	276	803	278	287	408	244	162
9100	173	107	282	170	499	139	395	472	207	193
105371378	0	0	1	0	0	0	0	0	0	0
83716	59	473	69	1138	436	118	1157	412	1292	301
101928474	0	0	0	0	0	0	0	0	0	0
105371379	0	0	0	0	0	0	0	0	0	0
55625	64	262	130	207	562	207	292	571	143	183
9764	33	639	23	609	321	362	222	602	92	288
105371380	0	0	0	0	0	0	0	0	0	0
339145	0	0	0	0	0	0	0	0	0	0
105371381	0	0	0	0	0	0	0	0	0	0
400548	1	1	1	2	0	1	0	1	2	1
105371382	2	1	1	2	0	1	0	1	2	1
23199	180	377	259	504	589	97	339	310	154	225
113219463	0	0	0	0	0	0	0	0	0	0
197196	0	0	1	0	0	0	0	0	0	0
107984830	1	0	0	0	0	0	0	0	0	0
100847022	0	0	0	0	0	0	0	0	0	0
101928502	0	0	0	0	0	0	0	0	0	0
51659	361	29	1463	13	351	120	170	141	159	127
404550	2	10	36	24	12	25	96	25	24	58
100302261	0	0	0	0	0	0	0	0	0	0
10328	775	334	1382	450	804	324	425	402	506	381
101928557	0	0	0	0	0	0	0	0	0	0
1327	11490	8770	13841	8512	6312	7198	4740	13616	3279	8254
3394	141	154	325	30	460	148	694	348	150	149
102466732	0	0	0	0	0	0	0	0	0	0
107984811	0	0	0	0	0	0	0	0	0	0
105371388	0	0	0	0	0	0	0	0	0	0
105371389	0	0	0	0	0	0	0	0	0	0
105376778	0	0	0	0	0	0	0	0	0	0
100506542	0	0	0	0	0	0	0	1	0	0
101928582	0	0	0	0	0	0	0	0	0	0
101154687	0	0	0	0	0	0	0	0	0	0
146513	0	0	2	0	0	0	0	0	0	0
732275	47	1	134	1	0	0	0	0	0	0
400550	5	27	10	29	2	16	31	40	4	34
2294	76	374	35	3740	38	74	391	471	96	412
64779	36	77	28	23	109	28	29	63	46	25
146512	13	4	38	0	1	1	0	0	0	0
103752587	0	0	0	0	0	0	0	0	0	0
2303	60	12	88	17	116	5	35	8	21	0
2300	73	86	152	4	111	32	69	54	23	78
101928614	0	0	0	0	0	0	0	0	0	0
102724344	0	0	0	0	0	0	0	0	0	0
105371392	0	0	0	0	0	0	0	0	0	0
107984819	0	0	0	0	0	0	0	0	0	0
105371393	0	0	0	0	0	0	0	0	0	0
440390	0	0	0	0	0	0	0	0	0	0
105371394	0	0	0	0	0	0	0	0	0	0
101928708	0	0	0	0	0	0	0	0	0	0
101928682	0	0	0	0	0	0	0	0	0	0
100506581	9	12	12	8	3	0	5	8	6	3
101928659	0	0	0	0	0	0	0	0	0	0
79791	241	313	789	609	734	468	377	611	285	233
100189226	0	0	0	0	0	1	0	0	0	0
81631	667	1481	2814	683	1306	742	1191	1437	695	548
23174	212	459	305	505	549	245	543	454	391	361
101928737	0	0	0	0	0	0	0	0	0	0
57338	0	1	0	7	1	0	1	4	0	0
54758	148	129	164	176	365	115	208	211	168	147
100129215	0	0	0	0	0	0	1	0	0	0
105371399	0	0	0	0	0	0	0	0	0	0
102724467	0	0	0	0	0	0	0	0	0	0
8140	1213	73	412	554	2090	101	1606	143	1200	303
102465464	0	0	0	0	0	0	0	0	0	0
113218509	0	0	0	0	0	0	0	0	0	0
107987237	0	0	0	0	1	0	0	0	0	0
763	0	0	0	0	0	0	0	0	0	0
54971	31	33	68	47	186	80	110	128	57	33
105369246	0	0	0	0	0	0	0	0	1	0
400553	0	0	0	0	0	0	0	0	0	0
105371401	0	0	1	0	0	0	1	0	0	0
101928880	0	0	0	0	0	0	0	0	0	0
107984862	0	0	2	0	0	0	0	0	0	0
84627	33	0	31	5	5	1	9	3	46	0
112268182	0	0	0	0	0	0	1	0	0	0
161882	129	59	319	22	296	30	223	79	128	58
100847057	0	0	0	0	0	0	0	0	0	0
107984890	0	0	0	0	0	0	0	0	0	0
100128882	0	0	0	0	0	0	0	0	0	0
107984905	0	0	0	0	0	0	0	0	0	0
400555	0	0	0	0	0	0	0	0	0	0
124245	112	206	227	362	406	88	313	359	197	231
27189	0	0	0	0	1	0	2	0	3	0
1535	245	1515	3769	246	3361	2061	2195	2305	1144	1780
4597	236	183	205	199	513	118	179	200	262	253
197187	19	40	6	72	59	10	15	16	40	19
333929	3	13	4	2	7	5	11	6	7	14
115992	35	25	26	89	131	61	112	95	178	102
348180	130	54	74	91	148	33	79	60	164	93
9780	320	239	203	917	1171	234	580	424	746	340
100616167	0	0	0	0	0	0	0	0	0	0
100289580	0	0	0	1	5	1	8	5	2	3
339059	0	0	0	0	0	0	0	0	0	0
107984842	0	0	0	0	0	0	0	0	0	0
81620	506	41	444	11	635	106	210	176	224	133
353	1476	999	1584	518	1693	688	758	1067	1436	1101
2588	218	323	234	178	354	113	280	242	681	343
107987238	0	0	0	0	0	0	0	0	0	0
107983950	0	0	0	0	0	0	0	0	0	0
51693	989	409	3810	654	1237	825	941	953	575	410
390748	0	0	1	0	1	0	0	0	0	0
863	15	226	16	82	63	93	100	155	78	161
101927793	0	0	0	0	0	0	0	0	0	0
102724632	0	0	0	0	0	0	0	0	0	0
105371409	0	0	1	0	0	0	0	0	0	0
107984871	2	0	3	0	0	0	0	0	0	0
100129697	0	0	0	0	0	0	0	0	0	0
105371411	0	0	0	0	0	0	0	0	0	0
105371412	0	0	0	0	0	0	0	0	0	0
197322	150	218	147	141	249	94	87	168	167	237
283860	0	0	0	0	1	0	0	0	0	0
400558	0	0	0	0	0	0	0	0	0	0
1013	0	0	1	0	2	0	2	2	0	2
146429	63	4	139	3	4	4	0	0	39	2
197320	28	38	38	90	62	41	29	59	26	18
105371413	0	0	4	0	0	0	0	0	0	0
29123	224	431	134	859	677	159	438	421	376	365
105371414	0	0	0	0	0	1	0	0	0	0
100287036	0	0	0	0	1	0	0	0	2	0
101927817	0	0	0	0	0	0	0	0	0	0
101930112	0	0	0	0	0	0	0	1	0	0
101927863	0	1	0	0	0	0	0	0	0	0
6687	227	554	244	592	784	218	282	476	618	494
6137	12986	5381	14987	8806	15913	5248	5017	7214	6513	4185
606500	0	0	0	0	1	0	0	0	0	0
27132	82	1	65	3	157	5	70	0	34	20
1800	0	0	7	0	22	0	18	0	73	1
5119	175	530	396	328	617	388	492	896	546	877
124045	31	17	61	16	130	25	47	24	63	23
105371416	0	0	0	0	0	0	0	0	0	0
8558	151	247	204	199	882	258	244	289	530	367
124044	75	183	140	65	213	84	81	115	122	122
9605	9	29	16	36	79	18	42	29	48	26
100128881	10	29	23	36	176	22	77	38	66	30
92822	85	101	90	127	209	89	165	154	131	130
2175	101	104	140	130	255	95	242	187	139	153
84501	210	442	305	28	1022	284	158	357	314	442
107984817	0	0	4	0	6	0	0	1	0	0
105371419	0	0	0	0	3	0	0	0	0	0
112268179	0	1	1	0	0	0	0	0	0	0
22980	347	874	632	1350	1479	686	935	1268	888	839
4157	76	17	105	29	68	5	27	8	38	9
10381	156	62	54	236	959	47	474	88	1053	17
54849	4	3	4	6	4	2	5	5	6	3
109623464	0	0	0	0	0	0	0	0	0	0
92806	0	0	0	0	1	0	0	0	2	0
172	19	40	25	47	26	7	39	31	15	25
79007	40	34	192	50	309	20	179	49	99	17
2622	30	70	63	146	140	27	57	84	76	52
750	53	8	103	9	8	2	4	9	12	8
100130015	0	2	4	1	5	1	2	3	0	1
11105	0	0	0	0	0	0	0	0	0	0
105376786	2	9	0	1	15	4	8	3	7	1
100996541	2	9	1	1	15	3	8	3	7	1
105376781	10	15	14	14	71	10	11	11	19	9
101927999	7	2	9	1	9	1	6	2	2	1
105371423	0	0	0	0	0	0	1	0	0	0
107987240	0	0	2	0	0	0	0	0	0	0
102723655	0	0	0	0	0	0	0	0	0	0
102723930	20	1	14	0	1	0	0	0	1	0
105379545	0	0	0	0	0	0	0	0	0	0
107987382	0	0	0	0	0	0	0	0	0	0
105379535	1	0	0	0	0	0	0	0	0	0
105379533	0	0	0	0	0	0	0	0	0	0
102723713	0	0	1	0	0	0	0	0	0	0
105379537	0	0	0	0	0	0	0	0	0	0
112268315	0	0	0	0	0	0	0	0	0	0
102723753	20	4	34	12	29	6	10	9	9	10
107987384	1	0	0	0	0	0	0	0	0	0
653562	40	2	32	0	3	0	0	1	2	0
105379539	0	0	0	0	0	0	0	0	0	0
105379540	0	0	0	0	0	0	0	0	0	0
112268316	0	0	0	0	0	0	0	0	0	0
102724014	0	0	0	0	0	0	0	0	0	0
